Source,Target,Weight
Radiation,NetRadiation,1
NetRadiation,ReferenceEvapotranspiration,1
ReferenceEvapotranspiration,UseExtET0,1
StomataResistance,CalcStomataResistance,1
CalcStomataResistance,ReferenceEvapotranspiration,1
SaturatedVaporPressure,UseExtVaporPressure,1
SaturatedVaporPressure,SaturationVaporPressureDeficit,1
UseExtVaporPressure,NetRadiation,1
UseExtVaporPressure,SaturationVaporPressureDeficit,1
SaturationVaporPressureDeficit,StomataResistance,1
UseExtET0,PotentialEvapotranspiration,1
PotentialEvapotranspiration,Evapotranspiration,1
