Source,Target,Weight
NetRadiation,NetRadiationEquivalentEvaporation,1
NetRadiationEquivalentEvaporation,PriestlyTaylor,1
NetRadiationEquivalentEvaporation,SoilHeatFlux,1
NetRadiationEquivalentEvaporation,CropHeatFlux,1
Conductance,Penman,1
Conductance,CanopyTemperature,1
Penman,EvapoTranspiration,1
DiffusionLimitedEvaporation,SoilEvaporation,1
SoilEvaporation,SoilHeatFlux,1
PriestlyTaylor,PtSoil,1
PriestlyTaylor,Penman,1
PriestlyTaylor,EvapoTranspiration,1
SoilHeatFlux,CropHeatFlux,1
CropHeatFlux,CanopyTemperature,1
PtSoil,SoilEvaporation,1
EvapoTranspiration,PotentialTranspiration,1
PotentialTranspiration,CropHeatFlux,1
